NAME,ADDRESS,MAIL
Allianz Services Private Limited (formerly known as Allianz Cornhill Information Services Private Limited),"Door No. 2F, Second Floor, Bhavani, Technopark, Trivandrum, Kerala",allianzservicesindia-careers@allianz.com
Cycloides Technologies Pvt. Ltd.,"Suite 2801, Yamuna (SEZ)",info@cycloides.com
EPICA STUDIO PVT LTD,10TH FLOOR;GANGA;110 S ; TECHNOPARK PHASE III TRIVANDRUM,contact@ariesepica.com
EYME Technologies Pvt Ltd,"1st Floor , Thejaswini, Technopark, Trivandrum",Sandeep.AV@gds.ey.com
H&R Block (India) Private Limited,"11th Floor, 211 N - 211 S, Yamuna Building, SEZ unit, Technopark Phase III",careers-GTCIndia@hrblock.com
IBS Software Services Pvt. Ltd.,"5th Floor, NILA, Technopark Campus, Trivandrum, India",receptiondesk@ibsplc.com
Infosys Ltd,Infosys Ltd Trivandrum SEZ Unit-1 Technopark Campus 2 Attipara Village Thiruvananthapuram,askus@infosys.com
Nissan Digital India LLP,"Nissan Digital India LLP # 2101, 1st Floor, Yamuna Building, Technopark Phase-III, Trivandrum, Kerala, India",ContactNDI@nissanmotor.com
Oracle India,"10th Floor, Leela Building, Technopark",anjana.jayalekshmi@oracle.com
QuEST Global Engineering Services Pvt Ltd,"QuEST Towers, Technopark Campus, Trivandrum",info@quest-global.com
RM Education Solutions India Pvt Ltd,"Unit 8 A, Carnival, Technopark Campus, Trivandrum",response@in.rm.com
SunTec Business Solutions Pvt. Ltd.,"SunTec Business Solutions Pvt. Ltd. 2nd floor, Thejaswini building, Technopark Campus, Kazhakootam Trivandrum",contactus@suntecgroup.com
Tata Consultancy Services Ltd.,"Technopark Campus, Kariyavattom P.O Trivandrum",info@tcs.com
Tata Elxsi,"Tata Elxsi Limited, Neyyar, Technopark Campus Kariyavattom Thiruvananthapuram - 695 581 Kerala - India Phone: +91471 6661 000 Fax: +91471 2527 215",info@tataelxsi.com
UST Global,"#721, Nila, Technopark Trivandrum",info@ust.com
1074 Vectors,"Kerala Startup Mission, Tejaswini",1074vectors@gmail.com
3MBK Technologies Private Limted,"Office No 2501(d), 5th floor, Yamuna Building, Phase III, Technopark, Trivandrum.",info.technopark@3mbk.com
4Labs Technologies Private Limited,"2501(a), 5th Floor, Yamuna Building, Phase III, Technopark, Trivandrum",careers@4labsinc.com
AdroitMinds Software Labs,"4th Floor, Gayatri Building, Technopark, Trivandrum",info@adroitminds.com
aeistir technologies Pvt Ltd,"C Level -2,Thejaswini Building, Technopark, Thiruvananthapuram",info@aeistir.com
Aibi Technology Pvt Ltd,"Phase 1 , Basement floor, Park Centre Building, Technopark",info@aibitech.in
Akira Software Solutions Pvt Ltd,"Module No. 432 - 435, 4th Floor, Nila Building, Technopark",sales@akiraplc.com
Alamy Images India Pvt. Ltd.,"C-16, Gayatri Building Technopark Campus Thiruvanathapuram",adminindia@alamy.com
Allianz Services Private Limited (formerly known as Allianz Cornhill Information Services Private Limited),"SEZ Unit ,Ganga Block,3rd , 4th,5th & 6th Floor, Phase 3, Technopark Campus, Trivandrum",allianzservicesindia-careers@allianz.com
Analyse Digital Business Solutions Pvt Ltd,"Padmanabha, Technopark Campus, Trivandrum",info@analysedigital.com
Anchako Consultancy Services Pvt Ltd- SUB(Cyber Chasse India),"UNIT NO. 2B, 2ND FLOOR, CARNIVAL, TECHNOPARK CAMPUS, THIRUVANANTHPURAM",saranya@cyberchasse.com
AOT TECHNOLOGIES PVT LTD,"Module No: 341 & 342, Nila Building, Technopark Campus, Kazhakkoottam, Thiruvananthapuram Kerala, India",info@aot-technologies.com
APPLEXUS TECHNOLOGIES PVT LTD,"10th FLOOR, YAMUNA BUILDING, TECHNOPARK PHASE III CAMPUS, TRIVANDRUM",contact@applexus.com
Appsiologix Business Solutions Pvt. Ltd.,"Module No : 5, Fourth Floor, Gayathri Building, Technopark Phase-1, Trivandrum, Kerala (India)",info@appsiologix.com
AppStation Pvt. Ltd,"AppStation Pvt. Ltd, 2nd Floor, Annex Building, M- Squared",hr@appstation.in
A2zalphabetsolutionz Pvt Ltd,"Amstor Building Technopark Campus, Kazhakuttom, Trivandrum",info@a2zalphabetsolutionz.com
Accubits Technologies Private Limited,"Module No. 2504(a), 5th Floor, Yamuna Building, Technopark Phase III",contact@accubits.com
Acrocede Technologies Private Limited,"1st Floor M Squared Building, Technopark Campus, Thiruvananthapuram, Kerala",information@acrocede.com
ACSIA Technologies (P) Limited,"2204, Yamuna, SEZ III, Technopark, Kulathoor P.O, Trivandrum",info@acsiatech.com
ADDANT SYSTEMS PRIVATE LIMITED,"Module No: 2707, Yamuna, Phase III, Technopark, Thiruvananthapuram, Kerala, INDIA â 695 583",info@addant.com
Adisys Research and Development India Pvt Ltd,"T-3, 7th floor, Thejaswini building Phase I, Technopark",hr@adisysindia.com
Aptara Learning Pvt Ltd,"7th Floor, Leela Infopark, Technopark, Trivandrum",jaya.chandran@aptaracorp.com
ARGENT Software Inc,"#343, Nila, Technopark, Trivandrum",binup@trivsoft.com
